,gc,Q,solver,conserve,chi
0,0.8,S,DMRG2,parity,2.0
1,0.8474,T2,DMRG2,parity,2.0
2,0.8474,xi,DMRG2,parity,2.0
3,0.8502000000000001,E,DMRG2,parity,2.0
0,0.9722,S,DMRG2,parity,4.0
1,0.9727,T2,DMRG2,parity,4.0
2,0.9727,xi,DMRG2,parity,4.0
3,0.9735,E,DMRG2,parity,4.0
0,0.983,S,DMRG2,parity,6.0
1,0.983,T2,DMRG2,parity,6.0
2,0.983,xi,DMRG2,parity,6.0
3,0.986,E,DMRG2,parity,6.0
0,0.9929,S,DMRG2,parity,8.0
1,0.9931,T2,DMRG2,parity,8.0
2,0.9931,xi,DMRG2,parity,8.0
3,0.9934,E,DMRG2,parity,8.0
0,0.995,S,DMRG2,parity,10.0
1,0.9951,T2,DMRG2,parity,10.0
2,0.9951,xi,DMRG2,parity,10.0
3,0.9955,E,DMRG2,parity,10.0
0,0.997,S,DMRG2,parity,12.0
1,0.9971,T2,DMRG2,parity,12.0
2,0.9971,xi,DMRG2,parity,12.0
3,0.9975,E,DMRG2,parity,12.0
0,0.9971,S,DMRG2,parity,14.0
1,0.9972,T2,DMRG2,parity,14.0
2,0.9972,xi,DMRG2,parity,14.0
3,0.9981,E,DMRG2,parity,14.0
0,0.9978,S,DMRG2,parity,16.0
1,0.9979,T2,DMRG2,parity,16.0
2,0.9979,xi,DMRG2,parity,16.0
3,0.9984,E,DMRG2,parity,16.0
0,0.9981,S,DMRG2,parity,18.0
1,0.9982,T2,DMRG2,parity,18.0
2,0.9982,xi,DMRG2,parity,18.0
3,0.9985,E,DMRG2,parity,18.0
0,0.9983,S,DMRG2,parity,20.0
1,0.9983,T2,DMRG2,parity,20.0
2,0.9983,xi,DMRG2,parity,20.0
3,0.9989,E,DMRG2,parity,20.0
0,0.9988,S,DMRG2,parity,22.0
1,0.9989,T2,DMRG2,parity,22.0
2,0.9989,xi,DMRG2,parity,22.0
3,0.9989,E,DMRG2,parity,22.0
0,0.9989,S,DMRG2,parity,24.0
1,0.9991,T2,DMRG2,parity,24.0
2,0.9991,xi,DMRG2,parity,24.0
3,0.9992,E,DMRG2,parity,24.0
0,0.9986,S,DMRG2,parity,26.0
1,0.9991,T2,DMRG2,parity,26.0
2,0.9991,xi,DMRG2,parity,26.0
3,0.9994,E,DMRG2,parity,26.0
0,0.9991,S,DMRG2,parity,28.0
1,0.9993,T2,DMRG2,parity,28.0
2,0.9993,xi,DMRG2,parity,28.0
3,0.9994,E,DMRG2,parity,28.0
0,0.9992,S,DMRG2,parity,30.0
1,0.9994,T2,DMRG2,parity,30.0
2,0.9994,xi,DMRG2,parity,30.0
3,0.9996,E,DMRG2,parity,30.0
0,1.073,S,DMRG1-bias,None,2.0
1,1.073,T2,DMRG1-bias,None,2.0
2,1.073,xi,DMRG1-bias,None,2.0
3,1.062,E,DMRG1-bias,None,2.0
0,1.011,S,DMRG1-bias,None,4.0
1,1.011,T2,DMRG1-bias,None,4.0
2,1.011,xi,DMRG1-bias,None,4.0
3,1.011,E,DMRG1-bias,None,4.0
0,1.001,S,DMRG1-bias,None,6.0
1,1.001,T2,DMRG1-bias,None,6.0
2,1.001,xi,DMRG1-bias,None,6.0
3,1.001,E,DMRG1-bias,None,6.0
0,1.003,S,DMRG1-bias,None,8.0
1,1.003,T2,DMRG1-bias,None,8.0
2,1.003,xi,DMRG1-bias,None,8.0
3,1.003,E,DMRG1-bias,None,8.0
0,1.0,S,DMRG1-bias,None,10.0
1,1.0,T2,DMRG1-bias,None,10.0
2,1.0,xi,DMRG1-bias,None,10.0
3,1.0,E,DMRG1-bias,None,10.0
0,1.002,S,DMRG1-bias,None,12.0
1,1.002,T2,DMRG1-bias,None,12.0
2,1.002,xi,DMRG1-bias,None,12.0
3,1.002,E,DMRG1-bias,None,12.0
0,1.0,S,DMRG1-bias,None,14.0
1,1.0,T2,DMRG1-bias,None,14.0
2,1.0,xi,DMRG1-bias,None,14.0
3,1.0,E,DMRG1-bias,None,14.0
0,1.001,S,DMRG1-bias,None,16.0
1,1.001,T2,DMRG1-bias,None,16.0
2,1.001,xi,DMRG1-bias,None,16.0
3,1.001,E,DMRG1-bias,None,16.0
0,1.0,S,DMRG1-bias,None,18.0
1,1.0,T2,DMRG1-bias,None,18.0
2,1.0,xi,DMRG1-bias,None,18.0
3,1.0,E,DMRG1-bias,None,18.0
0,1.0,S,DMRG1-bias,None,20.0
1,1.0,T2,DMRG1-bias,None,20.0
2,1.0,xi,DMRG1-bias,None,20.0
3,1.0,E,DMRG1-bias,None,20.0
0,1.001,S,DMRG1-bias,None,22.0
1,1.0,T2,DMRG1-bias,None,22.0
2,1.0,xi,DMRG1-bias,None,22.0
3,1.0,E,DMRG1-bias,None,22.0
0,1.0,S,DMRG1-bias,None,24.0
1,1.0,T2,DMRG1-bias,None,24.0
2,1.0,xi,DMRG1-bias,None,24.0
3,1.0,E,DMRG1-bias,None,24.0
0,1.0,S,DMRG1-bias,None,26.0
1,0.914,T2,DMRG1-bias,None,26.0
2,1.0,xi,DMRG1-bias,None,26.0
3,1.0,E,DMRG1-bias,None,26.0
0,1.0,S,DMRG1-bias,None,28.0
1,0.917,T2,DMRG1-bias,None,28.0
2,1.0,xi,DMRG1-bias,None,28.0
3,1.0,E,DMRG1-bias,None,28.0
0,1.0,S,DMRG1-bias,None,30.0
1,0.97,T2,DMRG1-bias,None,30.0
2,0.999,xi,DMRG1-bias,None,30.0
3,1.0,E,DMRG1-bias,None,30.0
